PDCT_05_Clean,PHHTTINC_Clean,PHTYPE,PMINOR,PHGEDUC,PEMPL,Province_Name,PSTIR_GR_Clean,prob_housing_stress,Predicted_Housing_Stress,True_Housing_Stress
1.0,160000.0,1,1,7,1,Quebec,1.0,9.10403729632441e-06,0,0.0
1.0,52500.0,5,2,3,1,Nova Scotia,2.0,0.07534806213329374,0,0.0
2.0,26000.0,5,2,2,2,Quebec,1.0,0.15902358073199846,0,0.0
1.0,65000.0,3,1,2,1,Saskatchewan,1.0,0.03396597003905907,0,0.0
2.0,29000.0,6,2,1,2,Ontario,1.0,0.51458935799341,1,1.0
1.0,65000.0,2,2,3,1,Manitoba,1.0,0.02736372048350241,0,0.0
2.0,31000.0,5,2,1,2,Manitoba,1.0,0.3373282862431595,1,0.0
1.0,270000.0,2,2,6,1,British Columbia,1.0,3.1778971529614474e-08,0,0.0
1.0,170000.0,1,1,6,1,Saskatchewan,1.0,2.1652231842723065e-05,0,0.0
2.0,185000.0,4,2,4,1,Ontario,1.0,1.7574367223505427e-05,0,0.0
1.0,41000.0,5,2,4,2,New Brunswick,1.0,0.09806360574971047,0,0.0
1.0,55000.0,5,2,3,1,Alberta,2.0,0.1139479723141856,0,0.0
1.0,700000.0,4,1,7,1,Alberta,1.0,2.374376617113069e-21,0,0.0
1.0,72500.0,2,2,1,2,Ontario,1.0,0.028916392554996246,0,0.0
1.0,230000.0,2,2,6,1,British Columbia,1.0,5.32238594387794e-07,0,0.0
2.0,87500.0,2,2,7,1,New Brunswick,1.0,0.0063453196644804415,0,0.0
2.0,52500.0,5,2,2,1,Quebec,1.0,0.02798121244438503,0,0.0
2.0,67500.0,5,2,2,2,Quebec,1.0,0.010055944461500144,0,0.0
2.0,97500.0,1,1,6,1,Ontario,1.0,0.008079333872356376,0,0.0
2.0,140000.0,2,2,6,1,Quebec,1.0,6.022542324855273e-05,0,0.0
2.0,26000.0,5,2,3,2,Quebec,2.0,0.1598750753085445,0,1.0
2.0,45000.0,5,2,1,2,British Columbia,1.0,0.28279720844312534,0,0.0
2.0,9000.0,5,2,2,2,New Brunswick,1.0,0.6202451505052278,1,0.0
2.0,12500.0,5,2,3,2,Nova Scotia,1.0,0.6886459570237975,1,0.0
1.0,140000.0,1,1,7,1,Saskatchewan,1.0,0.00018037152236713934,0,0.0
2.0,26000.0,5,2,1,2,Alberta,1.0,0.61356594100125,1,0.0
1.0,300000.0,2,2,4,1,Alberta,1.0,4.001427243696685e-09,0,0.0
2.0,48000.0,2,2,5,1,Prince Edward Island,3.0,0.0536155939245117,0,0.0
2.0,,99,2,99,1,Prince Edward Island,1.0,0.08885255162760503,0,0.0
1.0,31000.0,5,2,3,2,British Columbia,2.0,0.40152512250893,1,1.0
1.0,210000.0,2,2,6,1,Ontario,1.0,1.8779716666229406e-06,0,0.0
1.0,52500.0,2,2,7,2,Quebec,1.0,0.018014911884162457,0,0.0
2.0,,99,9,2,1,Nova Scotia,2.0,0.14810280409750617,0,0.0
2.0,27000.0,5,2,1,2,Ontario,2.0,0.5471876744136126,1,1.0
2.0,27000.0,5,2,1,2,Quebec,1.0,0.1490182925732184,0,0.0
2.0,23000.0,5,2,2,2,Prince Edward Island,1.0,0.25288186959168546,0,0.0
1.0,85000.0,2,2,7,1,Ontario,1.0,0.012470820911655457,0,0.0
1.0,92500.0,2,2,3,2,British Columbia,1.0,0.008474739950624246,0,0.0
1.0,125000.0,2,2,3,1,Prince Edward Island,1.0,0.00015432244646286115,0,0.0
1.0,145000.0,2,2,5,1,Manitoba,1.0,0.00010156999872628385,0,0.0
2.0,67500.0,5,2,4,1,Quebec,1.0,0.010031001635308241,0,0.0
1.0,70000.0,5,2,4,1,New Brunswick,1.0,0.01368869962565952,0,0.0
2.0,19500.0,5,2,1,2,Quebec,1.0,0.22901301707494964,0,0.0
2.0,25000.0,5,2,2,2,Ontario,2.0,0.5833599450818475,1,1.0
1.0,240000.0,1,2,6,1,Ontario,1.0,2.2458612332813225e-07,0,0.0
1.0,48000.0,2,2,3,2,British Columbia,1.0,0.16426789296161382,0,0.0
1.0,175000.0,4,1,7,1,British Columbia,1.0,2.6093556551133415e-05,0,0.0
2.0,24000.0,5,2,6,2,Nova Scotia,3.0,0.5006496754816983,1,1.0
2.0,25000.0,5,2,2,2,Newfoundland and Labrador,1.0,0.39092047695070364,1,0.0
1.0,24000.0,5,2,1,2,Newfoundland and Labrador,2.0,0.3000764625423635,1,0.0
2.0,,6,2,4,1,Newfoundland and Labrador,1.0,0.04401870530376854,0,0.0
2.0,25000.0,5,2,2,2,Manitoba,1.0,0.43877707236240365,1,0.0
2.0,24000.0,5,2,2,2,Saskatchewan,2.0,0.5131798246768502,1,1.0
2.0,48000.0,5,2,6,1,Ontario,1.0,0.21861841422498043,0,0.0
1.0,105000.0,2,2,3,1,British Columbia,1.0,0.0034770618628954955,0,0.0
1.0,145000.0,2,2,7,1,Ontario,1.0,0.0001842107548773465,0,0.0
1.0,31000.0,5,2,4,2,Ontario,2.0,0.36794383923750007,1,1.0
2.0,29000.0,5,2,2,9,Saskatchewan,2.0,0.4518873014456277,1,1.0
1.0,155000.0,1,1,6,1,New Brunswick,1.0,3.3547220698641914e-05,0,0.0
2.0,,1,9,3,1,New Brunswick,1.0,0.03682207128829389,0,0.0
1.0,125000.0,1,1,3,1,Quebec,1.0,0.00010450252007855155,0,0.0
2.0,19500.0,5,2,2,2,Quebec,1.0,0.2301367167731268,0,0.0
1.0,42000.0,5,2,2,2,New Brunswick,1.0,0.09094990099154256,0,0.0
1.0,47000.0,5,2,1,1,New Brunswick,1.0,0.06440775017615569,0,0.0
1.0,77500.0,5,2,7,1,Saskatchewan,1.0,0.015250574027261597,0,0.0
2.0,97500.0,6,2,4,1,Saskatchewan,1.0,0.005949940758026875,0,0.0
2.0,52500.0,6,2,2,2,British Columbia,1.0,0.19112295589796385,0,0.0
2.0,82500.0,5,2,4,1,Quebec,1.0,0.003509202825091128,0,0.0
2.0,18500.0,5,2,6,1,Ontario,2.0,0.6909899076030352,1,1.0
2.0,17000.0,5,2,2,2,Saskatchewan,2.0,0.6331912327851789,1,1.0
1.0,270000.0,2,2,7,1,Ontario,1.0,2.757394517501299e-08,0,0.0
2.0,65000.0,2,2,2,2,Nova Scotia,1.0,0.05014064655226423,0,0.0
2.0,67500.0,5,2,4,2,Quebec,1.0,0.010183226154140813,0,0.0
1.0,180000.0,2,2,5,1,Alberta,1.0,1.8917603648616856e-05,0,0.0
2.0,25000.0,5,2,2,2,New Brunswick,1.0,0.34598697477406176,1,0.0
1.0,80000.0,5,2,6,1,Quebec,2.0,0.0026578017689956215,0,0.0
1.0,52500.0,3,1,4,1,Saskatchewan,1.0,0.07911602939072461,0,0.0
1.0,110000.0,1,1,4,1,Alberta,1.0,0.002550803284298061,0,0.0
1.0,110000.0,2,2,7,2,Ontario,1.0,0.0021979517551096116,0,0.0
2.0,23000.0,5,2,4,2,Nova Scotia,2.0,0.515082769177372,1,0.0
2.0,42000.0,5,2,2,1,Quebec,1.0,0.056891180534410515,0,0.0
2.0,22000.0,5,2,1,2,Alberta,3.0,0.6779038273344569,1,1.0
2.0,65000.0,4,2,2,1,Ontario,1.0,0.07537620342982253,0,1.0
1.0,40000.0,5,2,4,1,Nova Scotia,1.0,0.16517300722855804,0,0.0
2.0,35000.0,5,2,3,2,Nova Scotia,2.0,0.3118487970782569,1,1.0
1.0,44000.0,2,2,1,2,New Brunswick,1.0,0.07732342020084848,0,0.0
1.0,62500.0,2,2,2,2,Ontario,2.0,0.05715803149095822,0,0.0
2.0,82500.0,1,1,4,1,British Columbia,1.0,0.02613758742986699,0,0.0
1.0,100000.0,1,2,4,2,Ontario,1.0,0.004310029634096848,0,0.0
1.0,49000.0,2,2,3,2,Newfoundland and Labrador,1.0,0.06751017769108171,0,0.0
2.0,32000.0,5,2,2,2,Saskatchewan,1.0,0.37497647434000886,1,0.0
2.0,21000.0,5,2,1,2,New Brunswick,1.0,0.41065685648814243,1,0.0
1.0,44000.0,2,2,3,2,Manitoba,1.0,0.11145385183836376,0,0.0
2.0,44000.0,2,2,3,2,British Columbia,2.0,0.29371939633715016,0,1.0
2.0,36000.0,5,2,2,2,Ontario,3.0,0.39211099498027496,1,1.0
2.0,29000.0,5,2,4,2,Newfoundland and Labrador,1.0,0.32903188979340625,1,0.0
2.0,18500.0,5,2,4,2,Prince Edward Island,3.0,0.32005109679276045,1,1.0
2.0,46000.0,3,1,2,1,Newfoundland and Labrador,2.0,0.12268141758499608,0,0.0
2.0,26000.0,5,2,2,2,Newfoundland and Labrador,1.0,0.37427928184510056,1,1.0
2.0,27000.0,5,2,1,2,Ontario,1.0,0.5471876744136126,1,0.0
1.0,115000.0,1,1,4,1,Newfoundland and Labrador,1.0,0.0006726177897132127,0,0.0
2.0,57500.0,5,2,6,1,Ontario,1.0,0.1253099741185346,0,0.0
1.0,77500.0,2,2,7,2,Quebec,1.0,0.003141820807518931,0,0.0
1.0,270000.0,1,1,6,1,New Brunswick,1.0,1.015702976469251e-08,0,0.0
2.0,22000.0,5,2,1,2,British Columbia,1.0,0.6659417411131842,1,0.0
2.0,18500.0,3,2,2,2,Ontario,1.0,0.6845161794948456,1,0.0
2.0,140000.0,6,2,6,1,Saskatchewan,1.0,0.00030340749103348113,0,0.0
1.0,125000.0,1,2,3,1,Nova Scotia,1.0,0.00047328351408692,0,0.0
1.0,52500.0,2,2,4,2,Saskatchewan,1.0,0.08016496489634312,0,0.0
1.0,130000.0,2,2,6,1,Saskatchewan,1.0,0.0003694784352917705,0,0.0
2.0,120000.0,6,2,6,1,Alberta,1.0,0.0021629349207420334,0,0.0
2.0,55000.0,5,2,2,1,British Columbia,1.0,0.1619130485663476,0,0.0
2.0,24000.0,5,2,2,1,Quebec,1.0,0.17656261571846754,0,0.0
2.0,25000.0,5,2,4,2,New Brunswick,2.0,0.34886780183325317,1,0.0
2.0,36000.0,5,2,4,2,Newfoundland and Labrador,1.0,0.23045084217070072,0,0.0
1.0,25000.0,5,2,1,2,New Brunswick,2.0,0.24774554921043163,0,1.0
1.0,190000.0,1,1,6,1,British Columbia,2.0,8.745784392292083e-06,0,0.0
1.0,300000.0,1,1,4,1,Saskatchewan,1.0,2.2495818071781126e-09,0,0.0
2.0,28000.0,5,2,4,2,Alberta,3.0,0.5843051436007398,1,1.0
2.0,37000.0,99,9,7,1,Ontario,3.0,0.6245060407595034,1,1.0
1.0,180000.0,2,2,7,1,Ontario,1.0,1.564650329955015e-05,0,0.0
2.0,44000.0,5,2,3,1,Alberta,1.0,0.3082290786465403,1,0.0
1.0,220000.0,1,1,2,1,Saskatchewan,1.0,6.230410212415694e-07,0,0.0
2.0,57500.0,5,2,3,1,Alberta,1.0,0.14684249223686482,0,0.0
1.0,50000.0,2,2,3,2,Ontario,1.0,0.12830709148001757,0,0.0
1.0,95000.0,99,9,5,1,Prince Edward Island,1.0,0.0036155295627730037,0,0.0
1.0,240000.0,2,2,6,1,Quebec,1.0,3.2871238833778907e-08,0,0.0
2.0,120000.0,99,9,3,1,British Columbia,1.0,0.0053977840216672375,0,0.0
1.0,160000.0,4,1,6,1,Saskatchewan,1.0,4.51314711870387e-05,0,0.0
2.0,46000.0,99,9,6,9,Nova Scotia,2.0,0.39176931397760145,1,0.0
2.0,43000.0,5,2,1,1,Alberta,1.0,0.3206773086806351,1,0.0
2.0,25000.0,5,2,1,2,Ontario,2.0,0.5818149667347269,1,1.0
2.0,57500.0,2,2,4,1,Ontario,1.0,0.12071162543633454,0,0.0
1.0,175000.0,2,2,4,1,Saskatchewan,1.0,1.532011350447952e-05,0,0.0
2.0,32000.0,5,2,1,2,Saskatchewan,2.0,0.3734886547702309,1,0.0
2.0,50000.0,5,2,1,9,Manitoba,1.0,0.12927284936245034,0,0.0
1.0,165000.0,1,2,5,1,Manitoba,1.0,2.457444614325808e-05,0,0.0
1.0,155000.0,2,2,6,1,Nova Scotia,1.0,5.8875643787656785e-05,0,0.0
2.0,24000.0,5,2,1,2,British Columbia,2.0,0.6338971486217,1,1.0
1.0,42000.0,5,2,4,2,Quebec,1.0,0.03740916602296058,0,0.0
1.0,44000.0,5,2,3,2,Newfoundland and Labrador,1.0,0.09592279933569373,0,0.0
2.0,180000.0,2,2,6,1,Nova Scotia,1.0,1.6145373143946523e-05,0,0.0
2.0,19500.0,5,2,2,2,Quebec,1.0,0.2301367167731268,0,0.0
2.0,,99,9,2,1,New Brunswick,1.0,0.09170320670437358,0,0.0
1.0,95000.0,1,1,4,1,Ontario,1.0,0.005973147172470611,0,0.0
1.0,60000.0,2,2,4,2,Nova Scotia,1.0,0.0454736367907442,0,0.0
2.0,25000.0,5,2,1,2,Nova Scotia,1.0,0.4751143912015125,1,0.0
2.0,24000.0,5,2,1,2,Quebec,1.0,0.17785473235303173,0,0.0
2.0,155000.0,2,2,7,1,Ontario,1.0,0.0001453494023291353,0,0.0
2.0,22000.0,5,2,1,2,British Columbia,1.0,0.6659417411131842,1,0.0
1.0,26000.0,5,2,1,2,Nova Scotia,1.0,0.34577230363387695,1,0.0
1.0,270000.0,2,2,6,1,Prince Edward Island,1.0,5.752998078807434e-09,0,0.0
1.0,220000.0,2,2,7,1,New Brunswick,1.0,3.529839514103267e-07,0,0.0
2.0,65000.0,6,2,6,1,Alberta,1.0,0.09457780456296401,0,0.0
1.0,35000.0,5,2,3,2,Quebec,3.0,0.059475926727639614,0,0.0
1.0,150000.0,1,1,5,1,Ontario,1.0,0.00012547451157362516,0,0.0
1.0,250000.0,1,2,7,1,Saskatchewan,1.0,7.839289988153703e-08,0,0.0
1.0,170000.0,2,2,4,1,Saskatchewan,1.0,2.1789888902036177e-05,0,0.0
2.0,115000.0,2,2,6,1,Ontario,1.0,0.0024134290373521317,0,0.0
2.0,77500.0,5,2,6,1,British Columbia,1.0,0.03901786687095299,0,0.0
2.0,105000.0,6,2,6,1,British Columbia,1.0,0.005872794582194191,0,0.0
1.0,72500.0,2,2,7,2,Alberta,1.0,0.03649757504661553,0,0.0
2.0,47000.0,5,2,5,2,Saskatchewan,1.0,0.17527062666929258,0,0.0
1.0,100000.0,2,2,4,1,Quebec,1.0,0.0006236061757495553,0,0.0
1.0,62500.0,2,2,4,2,Saskatchewan,1.0,0.041301426781951985,0,0.0
2.0,30000.0,5,2,4,2,Alberta,1.0,0.5497244690316776,1,0.0
2.0,40000.0,5,2,3,1,Alberta,1.0,0.37131423924002577,1,0.0
1.0,175000.0,2,2,1,1,Ontario,1.0,2.142177896012025e-05,0,0.0
2.0,45000.0,3,1,3,1,Alberta,1.0,0.2874323701386205,0,0.0
2.0,105000.0,5,2,6,1,British Columbia,1.0,0.005814847728229081,0,0.0
2.0,46000.0,6,2,2,1,Saskatchewan,1.0,0.18204289420269903,0,0.0
2.0,20500.0,5,2,4,2,Quebec,1.0,0.22006457965068146,0,0.0
1.0,135000.0,2,2,3,1,Saskatchewan,1.0,0.0002548974447482909,0,0.0
2.0,55000.0,1,1,6,1,British Columbia,2.0,0.1587422322861426,0,0.0
1.0,85000.0,4,1,4,1,New Brunswick,1.0,0.0047102009577109335,0,0.0
2.0,87500.0,5,2,4,2,Nova Scotia,1.0,0.01116063180992109,0,0.0
1.0,210000.0,2,2,6,1,Ontario,1.0,1.8779716666229406e-06,0,0.0
2.0,110000.0,2,2,2,1,Alberta,1.0,0.004091017270804878,0,0.0
2.0,9500.0,5,2,3,2,Nova Scotia,2.0,0.7320734922681154,1,1.0
2.0,75000.0,3,2,2,1,Manitoba,1.0,0.021792627494612873,0,0.0
2.0,22000.0,5,2,2,2,Prince Edward Island,2.0,0.2664237104374118,0,1.0
2.0,46000.0,4,2,4,2,Alberta,2.0,0.2813587326008877,0,1.0
1.0,47500.0,5,2,7,2,Newfoundland and Labrador,1.0,0.0783804324803049,0,0.0
2.0,55000.0,2,2,4,2,New Brunswick,1.0,0.05909709536081638,0,0.0
2.0,48000.0,5,2,5,1,Quebec,1.0,0.038726877016439135,0,0.0
2.0,11500.0,5,2,2,1,Ontario,2.0,0.7811770034921619,1,1.0
2.0,25000.0,5,2,1,2,Quebec,1.0,0.16778503298482783,0,0.0
2.0,80000.0,5,2,7,2,Alberta,1.0,0.035425942905734926,0,0.0
1.0,115000.0,2,2,3,2,Saskatchewan,1.0,0.0010582970486864955,0,0.0
1.0,72500.0,3,2,2,2,Ontario,1.0,0.02937841718470144,0,0.0
2.0,32000.0,5,2,4,2,Manitoba,2.0,0.3259367631584545,1,1.0
1.0,110000.0,2,2,4,2,Alberta,1.0,0.0026394716687514887,0,0.0
2.0,28000.0,5,2,1,2,Alberta,2.0,0.5796683580069509,1,1.0
1.0,90000.0,2,2,3,1,Manitoba,1.0,0.004810070470218378,0,0.0
1.0,75000.0,5,2,4,2,Ontario,1.0,0.02555178324754954,0,0.0
2.0,48000.0,2,2,3,2,Manitoba,2.0,0.1312203344989759,0,0.0
2.0,37000.0,3,1,6,1,Nova Scotia,2.0,0.27736330263541886,0,1.0
2.0,24000.0,5,2,2,2,Prince Edward Island,1.0,0.23980333115088204,0,0.0
1.0,60000.0,5,2,3,2,Ontario,1.0,0.06974197181642317,0,0.0
1.0,27000.0,5,2,2,2,Alberta,2.0,0.48266433399116654,1,1.0
1.0,410000.0,1,2,6,1,Quebec,1.0,2.044681421320222e-13,0,0.0
2.0,220000.0,2,2,4,1,Manitoba,1.0,8.169311451908872e-07,0,0.0
2.0,29000.0,5,2,4,2,British Columbia,1.0,0.5537283111916274,1,0.0
2.0,33000.0,5,2,4,2,Ontario,2.0,0.4466119731549667,1,1.0
1.0,39000.0,3,1,4,2,Ontario,3.0,0.24347452384242846,0,1.0
1.0,80000.0,5,2,6,2,New Brunswick,1.0,0.00700534692515544,0,0.0
2.0,25000.0,5,2,2,2,British Columbia,2.0,0.618896832232649,1,1.0
2.0,100000.0,2,2,6,1,British Columbia,1.0,0.008009018680626636,0,0.0
1.0,170000.0,2,2,4,1,Newfoundland and Labrador,1.0,1.4235439528609792e-05,0,0.0
2.0,47000.0,3,1,1,1,Ontario,1.0,0.22027520582522653,0,1.0
1.0,85000.0,2,2,6,2,Quebec,1.0,0.0018428670393720941,0,0.0
2.0,27000.0,5,2,2,2,New Brunswick,2.0,0.3148286312874873,1,1.0
2.0,24000.0,5,2,4,2,Ontario,1.0,0.6034223299450114,1,0.0
2.0,25000.0,2,2,2,2,Ontario,2.0,0.5760695190526908,1,1.0
1.0,220000.0,4,1,6,1,Ontario,1.0,9.384741592711744e-07,0,0.0
2.0,23000.0,5,2,1,2,New Brunswick,1.0,0.37703201782466905,1,0.0
2.0,23000.0,5,2,1,2,Manitoba,2.0,0.4721374940685932,1,1.0
1.0,130000.0,2,2,7,1,British Columbia,1.0,0.000614491220873446,0,0.0
2.0,41000.0,5,2,1,2,Alberta,2.0,0.35559583071171325,1,0.0
2.0,42000.0,5,2,3,1,Alberta,2.0,0.3390574825255218,1,0.0
1.0,120000.0,2,2,4,1,Newfoundland and Labrador,1.0,0.00048208772479498534,0,0.0
