Cum_Pop,Cum_Stress,Strategy
0.0015430788236834062,0.0,Income
0.0033209729444947465,0.005843973110376955,Income
0.0035784931596276083,0.005843973110376955,Income
0.003980663402267333,0.005843973110376955,Income
0.004226851481453589,0.0066531981919039,Income
0.005579770181211376,0.0066531981919039,Income
0.008560260131948385,0.0066531981919039,Income
0.012452222202051643,0.019446154430440215,Income
0.013071886401311246,0.021483002899393932,Income
0.013139629920839014,0.021483002899393932,Income
0.013573298867753568,0.021483002899393932,Income
0.013641042387281338,0.0217056771868492,Income
0.014983874754416635,0.0217056771868492,Income
0.017108507983014103,0.0217056771868492,Income
0.02157780945624641,0.0217056771868492,Income
0.021880423145152927,0.0217056771868492,Income
0.0220883070060926,0.022388995546020314,Income
0.022318683747821075,0.023146248448855197,Income
0.022877462104034706,0.023146248448855197,Income
0.02317265855498813,0.023146248448855197,Income
0.024921297636891406,0.023146248448855197,Income
0.02566359928442252,0.025586208633874938,Income
0.02683797722872409,0.025586208633874938,Income
0.02742591646035365,0.027518776507270477,Income
0.031133492186700643,0.03970565118998241,Income
0.031596884280243195,0.04122883015914857,Income
0.031851065417298534,0.04206432857985236,Income
0.032839244201261275,0.04206432857985236,Income
0.033488067921066414,0.04206432857985236,Income
0.03361900598278566,0.04206432857985236,Income
0.034403795688329394,0.04464394785122117,Income
0.035247274314580815,0.047416478764783984,Income
0.03533930117611851,0.04771897287732047,Income
0.03541583780448099,0.04771897287732047,Income
0.03603550200374059,0.04771897287732047,Income
0.03639569836168091,0.04771897287732047,Income
0.03738387714564365,0.05096713606888774,Income
0.03746828828071603,0.05124459713802851,Income
0.03756266313264056,0.05124459713802851,Income
0.03763040665216833,0.05124459713802851,Income
0.04038115123077886,0.06028634892895022,Income
0.04068380488836191,0.06028634892895022,Income
0.0431759060642858,0.06847793474385347,Income
0.04592665064289634,0.06847793474385347,Income
0.046227297737430964,0.06847793474385347,Income
0.046295041256958734,0.06870060903130874,Income
0.04668459765626239,0.06998108861434878,Income
0.04698524475079702,0.07096932155556102,Income
0.04707981605892818,0.07096932155556102,Income
0.047166108431537845,0.0712529662896644,Income
0.04723385195106561,0.0712529662896644,Income
0.04810012220702695,0.07410041374049867,Income
0.04945398931605813,0.07855060168340686,Income
0.04952173283558589,0.07877327597086213,Income
0.051580523427813545,0.08554056133394373,Income
0.05171299655768529,0.08597600312980538,Income
0.05182366169375067,0.08597600312980538,Income
0.05192989437133332,0.08632519204042123,Income
0.0524609087235037,0.08807064671006812,Income
0.05348552810149081,0.09143859085434332,Income
0.05434241994460874,0.09143859085434332,Income
0.057982091599286675,0.10340226351153871,Income
0.05837917701335065,0.10470749111488652,Income
0.05859200073173429,0.10470749111488652,Income
0.05964117781298542,0.10815615691510713,Income
0.05970892133251318,0.10837883120256239,Income
0.06245966591112371,0.11742058299348411,Income
0.06273963836093366,0.11834085796890788,Income
0.06283390143605097,0.11865070255967326,Income
0.06329149468432194,0.12015482060983323,Income
0.06338352154585963,0.12045731472236974,Income
0.06348153286991241,0.12045731472236974,Income
0.06355137305136957,0.12045731472236974,Income
0.06362435246752163,0.12045731472236974,Income
0.06402226232021825,0.12045731472236974,Income
0.06409000583974603,0.12045731472236974,Income
0.06460177696775934,0.12045731472236974,Income
0.06466952048728711,0.120679989009825,Income
0.06473726400681487,0.12090266329728028,Income
0.06486160588203771,0.1213113774984187,Income
0.06492934940156547,0.12153405178587395,Income
0.06517468458984088,0.12234047339812182,Income
0.06524242810936864,0.1225631476855771,Income
0.0656692664772092,0.12396617383597526,Income
0.06573700999673698,0.12418884812343052,Income
0.06602075305084384,0.12512151714969405,Income
0.06614726136382117,0.12512151714969405,Income
0.06631808884214395,0.12568303044688425,Income
0.06638583236167173,0.12590570473433954,Income
0.06645357588119949,0.1261283790217948,Income
0.06652131940072727,0.12635105330925006,Income
0.06676140311136887,0.12635105330925006,Income
0.06694724255361902,0.12635105330925006,Income
0.06733299650917157,0.12761903418453524,Income
0.06740074002869935,0.12761903418453524,Income
0.06751740791803006,0.1280025238423907,Income
0.06773171792923215,0.1280025238423907,Income
0.06782374479076984,0.1283050179549272,Income
0.06805215087351525,0.1283050179549272,Income
0.06811989439304302,0.1283050179549272,Income
0.06818763791257079,0.12852769224238245,Income
0.06825538143209856,0.12852769224238245,Income
0.0685580350896816,0.12852769224238245,Income
0.06862577860920936,0.12875036652983773,Income
0.06869352212873714,0.12875036652983773,Income
0.07088074088528554,0.12875036652983773,Income
0.0709942478619951,0.12912346620544052,Income
0.07110021701728679,0.1294717889130782,Income
0.07116796053681455,0.1294717889130782,Income
0.07129608859734379,0.12989294838014245,Income
0.0714740420164857,0.13047788478563008,Income
0.07154178553601348,0.13070055907308537,Income
0.07160952905554124,0.13070055907308537,Income
0.07214144100934536,0.13070055907308537,Income
0.07220918452887312,0.13092323336054063,Income
0.0722769280484009,0.13092323336054063,Income
0.0723689549099386,0.13092323336054063,Income
0.0727593066181615,0.13092323336054063,Income
0.07282705013768928,0.13092323336054063,Income
0.0735289671634891,0.1332304484958368,Income
0.0736209940250268,0.13353294260837326,Income
0.07368873754455456,0.13353294260837326,Income
0.07381131063648252,0.13393584278386622,Income
0.07593594386508,0.13393584278386622,Income
0.07600368738460778,0.13393584278386622,Income
0.07611462755936242,0.13430050533071736,Income
0.07623727923377302,0.13430050533071736,Income
0.07636817800425096,0.13473077217613852,Income
0.07643592152377872,0.1349534464635938,Income
0.07651802802431676,0.1349534464635938,Income
0.07658577154384454,0.13517612075104907,Income
0.07822605418882794,0.1405677622208609,Income
