Threshold,Caseload_Volume,Precision_Pct,Weighted_Flagged_Rate,Weighted_Recall,Weighted_Coverage_of_Need
0.05,3723912.6009,43.3487311708084,0.25503219197494026,0.9702997676714574,0.9702997676714574
0.1,2909888.8997,51.76496381546715,0.19928377060049227,0.9054039403762424,0.9054039403762424
0.15,2448170.9372,56.904260855792984,0.16766301128886946,0.8373684278430291,0.8373684278430291
0.2,2086929.271,60.310242809374046,0.14292337214121598,0.7565347216592734,0.7565347216592734
0.25,1773506.1714,64.70767202315922,0.12145858800872862,0.6897926099445026,0.6897926099445026
0.3,1535461.0367,66.99622859274082,0.10515606456152456,0.6183284278507615,0.6183284278507615
0.35,1268261.6672,70.34297474823184,0.08685691305043974,0.5362405529592863,0.5362405529592863
0.4,1115549.5633,72.2339379450143,0.07639842307693467,0.4843510214034348,0.4843510214034348
0.45,934081.8186,72.41452777807018,0.06397060275365297,0.4065750082152069,0.4065750082152069
0.5,808276.5284,73.36248728808194,0.05535482618736211,0.356421646731104,0.356421646731104
0.55,659837.0201000001,75.8836047762395,0.04518894496655096,0.30096409614743436,0.30096409614743436
0.6,510587.6411,76.65897996605466,0.03496759974269436,0.23526828799608665,0.23526828799608665
0.65,367739.847,78.39166208169985,0.02518466712518252,0.17327688070284178,0.17327688070284178
0.7,280523.15729999996,78.3779946070071,0.01921163125274731,0.13215783737266693,0.13215783737266693
0.75,186603.5671,73.53633595142567,0.012779547172066889,0.08248063310184438,0.08248063310184438
0.8,95698.69020000001,71.76362984328495,0.0065539257620971575,0.041280072259756335,0.041280072259756335
0.85,48747.86869999999,87.3270949792314,0.0033384982788433144,0.02558790346090199,0.02558790346090199
0.9,14979.223700000002,89.58027911686771,0.0010258522859453545,0.0080655089142204,0.0080655089142204
0.95,2248.7269,79.28419853918231,0.0001540040843926919,0.001071651097663459,0.001071651097663459
