PUMFID,Province_Name,PFWEIGHT,Tenure_Group,PDCT_05_Clean,Income_Quintile,PHHTTINC_Clean,PHTYPE,PMINOR,PHHSIZE_Clean,prob_housing_stress,Predicted_Housing_Stress,Risk_Band,Risk_Segment,Actual_Stress
63555,Alberta,196.4513,Owner (without mortgage),1.0,Q5 Highest,165000.0,4,2,4,4.7107231880947964e-05,0,Low,0,0
63556,Alberta,286.3923,Owner (with mortgage),1.0,Q5 Highest,200000.0,1,1,4,2.3454560280412314e-06,0,Low,0,0
63557,Ontario,82.432,Owner (without mortgage),1.0,Q3,62500.0,5,2,1,0.018866685419784663,0,Low,0,0
63558,British Columbia,658.1853,Owner (with mortgage),1.0,Q5 Highest,240000.0,4,1,5,1.6919221537150802e-07,0,Low,0,0
63560,Ontario,525.7983,Renter,2.0,Q3,49000.0,5,2,1,0.09085272040101135,0,Low,0,0
63561,Newfoundland and Labrador,51.1497,Owner (without mortgage),1.0,Q4,82500.0,2,2,2,0.002618980052955747,0,Low,0,0
63562,Quebec,3497.7371,Owner (with mortgage),1.0,Q4,120000.0,4,1,4,0.00017865542818628317,0,Low,0,0
63563,Alberta,331.7969,Owner (with mortgage),1.0,Q5 Highest,160000.0,3,2,2,1.522539903858077e-05,0,Low,0,0
63564,Saskatchewan,97.4303,Owner (with mortgage),1.0,Q3,75000.0,5,2,1,0.005325189650914887,0,Low,0,0
63565,Ontario,229.248,Renter,2.0,Q4,87500.0,3,1,3,0.013813384463902208,0,Low,0,1
63566,British Columbia,318.6974,Owner (with mortgage),1.0,Q2,43000.0,5,2,1,0.16191127029084795,0,Medium,0,1
63567,British Columbia,130.3167,Renter,2.0,Q5 Highest,160000.0,6,2,2,2.3608016476271527e-05,0,Low,0,0
63568,British Columbia,2940.4772,Owner (with mortgage),1.0,Q4,100000.0,4,1,5,0.01835776035701444,0,Low,0,0
63569,Saskatchewan,15.7986,Renter,2.0,Q1 Lowest,26000.0,5,2,1,0.47058643425713065,1,High,0,1
63570,Saskatchewan,353.0422,Owner (with mortgage),1.0,Q5 Highest,140000.0,1,1,5,0.0005027480671223577,0,Low,0,0
63571,Nova Scotia,201.5115,Owner (without mortgage),1.0,Q2,35000.0,2,2,2,0.29257997511616585,0,Medium,0,0
63572,Quebec,1501.1223,Owner (with mortgage),1.0,Q3,62500.0,2,2,2,0.005912723685271916,0,Low,0,0
63573,New Brunswick,38.0884,Renter,2.0,Q2,35000.0,5,2,1,0.1396867479323724,0,Low,0,0
63574,Nova Scotia,16.2099,Renter,2.0,Q2,42000.0,5,2,1,0.14279736098688808,0,Low,0,0
63575,Alberta,10.0,Renter,2.0,Q1 Lowest,23000.0,5,2,1,0.6633640659661402,1,High,0,0
63576,Ontario,217.4917,Owner (without mortgage),1.0,Q3,50000.0,5,2,1,0.05328417754136155,0,Low,0,0
63577,Alberta,295.5321,Renter,2.0,Q4,90000.0,3,2,2,0.006567177664515098,0,Low,0,0
63578,Ontario,494.3799,Owner (with mortgage),1.0,Q5 Highest,145000.0,1,2,3,8.723907019311449e-05,0,Low,0,0
63579,Quebec,452.4856,Owner (with mortgage),1.0,Q3,52500.0,5,2,1,0.007050638702054021,0,Low,0,0
63580,Alberta,67.2268,Owner (with mortgage),1.0,Q4,95000.0,2,2,2,0.002776104956368028,0,Low,0,0
63581,Quebec,77.9936,Renter,2.0,Q2,28000.0,5,2,1,0.10314103089055476,0,Low,0,0
